Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"2,8852E-17","-0,23073","1,5495E-17",0,0,0,"22,615","0,87369","-1,8423E-16","-3,1903E-18","0,38057","2,3876E-17","0,87369",0,0,0,0,0,0,package://SCARA_4/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://SCARA_4/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"0,21762","-1,258E-06","0,11077",0,0,0,"15,849","0,17256","6,0369E-06","-0,03006","0,93235","-1,0863E-06","0,9668",0,0,0,0,0,0,package://SCARA_4/meshes/link_1.STL,0,1,0,1,0,0,0,0,0,0,package://SCARA_4/meshes/link_1.STL,,Teil1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0,"-0,5",0,"1,5708","-0,49864",0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,"0,30845","-2,4361E-06","0,089551",0,0,0,"9,7111","0,041789","1,3001E-06","-0,038416","0,55234","-1,1193E-06","0,55988",0,0,0,0,0,0,package://SCARA_4/meshes/link_2.STL,0,0,1,1,0,0,0,0,0,0,package://SCARA_4/meshes/link_2.STL,,Teil2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,"0,6",0,"0,15",0,0,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,"0,002073","2,2917E-05","0,30161",0,0,0,"1,1625","0,044926","6,4058E-08","4,0179E-06","0,044857","-7,6103E-06","0,00062347",0,0,0,0,0,0,package://SCARA_4/meshes/link_3.STL,"0,5","0,5",0,1,0,0,0,0,0,0,package://SCARA_4/meshes/link_3.STL,,Teil3-1,Origin_joint_3,Axis_joint_3,joint_3,prismatic,"0,6",0,"0,03",0,0,0,link_2,0,0,1,0,0,0,0,,,,,,,,
link_4,"8,1041E-06","-1,5568E-05","-0,023589",0,0,0,"0,26462","0,00016691","-4,7588E-08","-5,757E-08","0,00016698","1,1059E-07","0,00020916",0,0,0,0,0,0,package://SCARA_4/meshes/link_4.STL,0,"0,5","0,5",1,0,0,0,0,0,0,package://SCARA_4/meshes/link_4.STL,,Teil4-1,Origin_joint_tcp,Axis_joint_4,joint_4,revolute,0,0,"-0,05","3,1416",0,"-3,0582",link_3,0,0,1,0,0,0,0,,,,,,,,
tool,"1,6299E-06","-3,1309E-06","0,040258",0,0,0,"0,20026","0,0005259","-7,2388E-09","1,101E-08","0,00052591","-2,115E-08","0,00010377",0,0,0,0,0,0,package://SCARA_4/meshes/tool.STL,"0,5",0,"0,5",1,0,0,0,0,0,0,package://SCARA_4/meshes/tool.STL,,Werkzeug-1,Origin_joint_tcp,,joint_tcp,fixed,0,0,0,0,0,0,link_4,0,0,0,,,,,,,,,,,,
