Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-4,2133E-19","0,058842","4,8979E-18",0,0,0,"10,856","0,056123","-2,1197E-19","-3,866E-20","0,064497","4,2538E-18","0,056123",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/base_link.STL,,1Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"9,4285E-09","0,070484","-1,624E-07",0,0,0,"7,3362","0,023594","3,4024E-09","4,382E-09","0,022891","-6,6103E-08","0,022929",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_1.STL,0,1,0,1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_1.STL,,2Link0-1,Origin_joint_1,,joint_1,revolute,0,0,"0,15","1,5708",0,"1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
link_2,"2,7685E-17","2,7053E-09","0,39",0,0,0,"12,577","1,0467","-9,0856E-10","2,6202E-09","0,9886","5,3521E-16","0,094901",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_2.STL,0,0,1,1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_2.STL,,3Link1-1,Origin_joint_2,,joint_2,fixed,0,"0,09",0,"1,5708",0,"3,1416",link_1,0,0,0,,,,,,,,,,,,
link_3,"-0,15486","5,8334E-16","-7,1426E-09",0,0,0,"5,0111","0,017184","-2,7526E-17","5,1801E-09","0,10451","-1,4706E-09","0,10804",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_3.STL,"0,5","0,5",0,1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_3.STL,,4Link2-1,Origin_joint_3,,joint_3,fixed,0,0,"0,78",0,"1,5708",0,link_2,0,0,0,,,,,,,,,,,,
link_4,"-0,062648","-1,0839E-09","-1,4785E-09",0,0,0,"2,8147","0,016383","2,7934E-10","4,5182E-10","0,010718","9,4548E-10","0,022619",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_4.STL,0,"0,5","0,5",1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_4.STL,,5Link3-1,Origin_joint_4,,joint_4,fixed,"-0,32",0,0,0,0,0,link_3,0,0,0,,,,,,,,,,,,
link_5,"1,1293E-07","0,073741","-0,0073233",0,0,0,"2,305","0,0061277","-1,1815E-09","-3,4513E-10","0,003854","0,00038988","0,0054633",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_5.STL,"0,5",0,"0,5",1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/link_5.STL,,6Link4-1,Origin_joint_5,,joint_5,fixed,"-0,17",0,0,"3,1416",0,"-1,5708",link_4,0,0,0,,,,,,,,,,,,
tool,"-6,249E-16","-0,0089196","-0,031888",0,0,0,"1,5393","0,003164","-1,0526E-13","-3,7027E-19","0,0037725","2,9223E-05","0,0010376",0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/tool.STL,"0,5","0,5","0,5",1,0,0,0,0,0,0,package://robot_arm_6dof_assembly/meshes/tool.STL,,8Tool-1;7ToolFlange-1,Origin_joint_tcp,,joint_tcp,fixed,0,"0,095","-0,115","-1,5708",0,"3,1416",link_5,0,0,0,,,,,,,,,,,,
